NAME	FILE
config	Logos_System/docker-compose.yml
monitoring	Logos_System/docker-compose.yml
__future__	Logos_System/__main__.py
boot	Logos_System/__main__.py
bootstrap	Logos_System/__main__.py
agent	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
analytics	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
ci	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
consciousness	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
core	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
modal	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
nexus	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
operations	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
persistence	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
reports	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
scp_convergence.json	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
scp_nexus.py	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
scripts	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
system_utilities	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
systems	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
workflows	Logos_System/System_Stack/Synthetic_Cognition_Protocol/README.md
alignment	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
arch	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
arithmopraxis	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
arp_stack_compiler	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
bayesian	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
boot	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
ci	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
coherence	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
compat	Logos_System/System_Stack/Advanced_Reasoning_Protocol/arp_operations.py
